1717889397.483009, 4, 65, 12, 0, 0, 0
1717889397.486595, 3, 65, 13, 0, 0, 0
1717889397.539773, 3, 65, 17, 42, 0, 0
1717889397.707896, 4, 65, 12, 0, 0, 0
1717889397.769199, 3, 65, 13, 0, 0, 0
1717889397.834743, 3, 65, 17, 42, 0, 0
1717889398.006823, 4, 65, 12, 0, 0, 0
1717889398.068266, 3, 65, 13, 0, 0, 0
1717889398.129717, 3, 65, 17, 42, 0, 0
1717889398.309993, 4, 65, 12, 0, 0, 0
1717889398.371433, 3, 65, 13, 0, 0, 0
1717889398.445176, 3, 65, 17, 42, 0, 0
1717889398.637729, 4, 65, 12, 0, 0, 0
1717889398.703415, 3, 65, 13, 0, 0, 0
1717889398.76883, 3, 65, 17, 42, 0, 0
1717889398.932731, 4, 65, 12, 0, 0, 0
1717889398.990066, 3, 65, 13, 0, 0, 0
1717889399.055611, 3, 65, 17, 42, 0, 0
1717889399.224262, 4, 65, 12, 0, 0, 0
1717889399.28528, 3, 65, 13, 0, 0, 0
1717889399.339377, 3, 65, 17, 42, 0, 0
1717889399.506258, 4, 65, 12, 0, 0, 0
1717889399.568839, 3, 65, 13, 0, 0, 0
1717889399.625067, 3, 65, 17, 42, 0, 0
1717889399.79304, 4, 65, 12, 0, 0, 0
1717889399.858617, 3, 65, 13, 0, 0, 0
1717889399.924133, 3, 65, 17, 42, 0, 0
1717889400.108498, 4, 65, 12, 0, 0, 0
1717889400.186334, 3, 65, 13, 0, 0, 0
1717889400.243687, 3, 65, 17, 42, 0, 0
1717889400.425002, 4, 65, 12, 0, 0, 0
1717889400.493621, 3, 65, 13, 0, 0, 0
1717889400.550952, 3, 65, 17, 42, 0, 0
1717889400.723047, 4, 65, 12, 0, 0, 0
1717889400.780526, 3, 65, 13, 0, 0, 0
1717889400.837769, 3, 65, 17, 42, 0, 0
1717889401.00573, 4, 65, 12, 0, 0, 0
1717889401.067158, 3, 65, 13, 0, 0, 0
1717889401.128951, 3, 65, 17, 42, 0, 0
1717889401.28429, 4, 65, 12, 0, 0, 0
1717889401.341762, 3, 65, 13, 0, 0, 0
1717889401.394901, 3, 65, 17, 42, 0, 0
1717889401.554769, 4, 65, 12, 0, 0, 0
1717889401.620304, 3, 65, 13, 0, 0, 0
