1717351003.9452,1717351003.945161,0
1717351004.0072,1717351004.007167,48
1717351004.2171,1717351004.217142,0
1717351004.2771,1717351004.277128,48
1717351004.4611,1717351004.461110,0
1717351004.5241,1717351004.524134,48
1717351004.7371,1717351004.737087,0
1717351004.7981,1717351004.798116,48
1717351005.0041,1717351005.004130,0
1717351005.0761,1717351005.076097,48
1717351005.2531,1717351005.253056,0
1717351005.3170,1717351005.317026,48
1717351005.4890,1717351005.489031,0
1717351005.5490,1717351005.549004,48
1717351005.7240,1717351005.724040,0
1717351005.7830,1717351005.782991,48
1717351005.9462,1717351005.946172,0
1717351006.0120,1717351006.011989,48
1717351006.2070,1717351006.206951,0
1717351006.2604,1717351006.260416,48
1717351006.4289,1717351006.428923,0
1717351006.4879,1717351006.487946,48
1717351006.6779,1717351006.677933,0
1717351006.7379,1717351006.737933,48
1717351006.9179,1717351006.917931,0
1717351006.9959,1717351006.995949,48
1717351007.1759,1717351007.175932,0
1717351007.2318,1717351007.231833,48
1717351007.4079,1717351007.407870,0
1717351007.4688,1717351007.468828,48
1717351007.6808,1717351007.680817,0
1717351007.7408,1717351007.740796,48
1717351007.9268,1717351007.926795,0
1717351007.9905,1717351007.990472,48
1717351008.1568,1717351008.156760,0
1717351008.2207,1717351008.220748,48
1717351008.4438,1717351008.443761,0
1717351008.5207,1717351008.520730,48
1717351008.6857,1717351008.685739,0
1717351008.7720,1717351008.772017,48
1717351008.9337,1717351008.933720,0
1717351009.0077,1717351009.007713,51
1717351009.2037,1717351009.203691,0
1717351009.2537,1717351009.253691,93
1717351009.4601,1717351009.460091,0
1717351009.5206,1717351009.520632,93
1717351009.6846,1717351009.684613,0
1717351009.7526,1717351009.752624,93
1717351009.9606,1717351009.960594,0
1717351010.0486,1717351010.048598,93
1717351010.2166,1717351010.216565,0
1717351010.2886,1717351010.288559,93
1717351010.4786,1717351010.478564,0
1717351010.5338,1717351010.533801,93
1717351010.6976,1717351010.697552,0
1717351010.7721,1717351010.772064,93
1717351010.9535,1717351010.953535,0
1717351011.0125,1717351011.012492,93
1717351011.1825,1717351011.182495,0
1717351011.2565,1717351011.256465,93
1717351011.4444,1717351011.444447,0
1717351011.5204,1717351011.520367,93
1717351011.7524,1717351011.752446,0
1717351011.8234,1717351011.823439,93
1717351012.0164,1717351012.016395,0
1717351012.1004,1717351012.100411,93
1717351012.2774,1717351012.277373,0
1717351012.3398,1717351012.339812,93
1717351012.5103,1717351012.510350,0
1717351012.5854,1717351012.585370,93
1717351012.7534,1717351012.753362,0
1717351012.8174,1717351012.817354,83
1717351012.9933,1717351012.993333,0
1717351013.0643,1717351013.064295,65
1717351013.2273,1717351013.227307,0
1717351013.2803,1717351013.280275,48
1717351013.4683,1717351013.468257,0
1717351013.5323,1717351013.532269,48
1717351013.7173,1717351013.717275,0
1717351013.7963,1717351013.796337,48
1717351013.9662,1717351013.966212,0
1717351014.0172,1717351014.017233,48
1717351014.1812,1717351014.181228,0
1717351014.2382,1717351014.238200,48
1717351014.4952,1717351014.495212,0
1717351014.5813,1717351014.581264,48
1717351014.7762,1717351014.776165,0
1717351014.8362,1717351014.836168,52
1717351015.0200,1717351015.020037,0
1717351015.0921,1717351015.092093,63
1717351015.2781,1717351015.278099,0
1717351015.3362,1717351015.336177,78
1717351015.5121,1717351015.512145,0
1717351015.5881,1717351015.588066,82
1717351015.7800,1717351015.780036,0
1717351015.8380,1717351015.838045,83
1717351016.0070,1717351016.007044,0
1717351016.0595,1717351016.059464,83
1717351016.2862,1717351016.286212,0
1717351016.3562,1717351016.356212,84
1717351016.5530,1717351016.552996,0
1717351016.6220,1717351016.621960,85
1717351016.7870,1717351016.786971,0
1717351016.8679,1717351016.867928,93
1717351017.0529,1717351017.052944,0
1717351017.1319,1717351017.131899,93
1717351017.3119,1717351017.311919,0
1717351017.3669,1717351017.366910,93
1717351017.5549,1717351017.554900,0
1717351017.6249,1717351017.624887,93
1717351017.8119,1717351017.811859,0
1717351017.8669,1717351017.866863,93
1717351018.0629,1717351018.062851,0
1717351018.1398,1717351018.139837,93
1717351018.3368,1717351018.336827,0
1717351018.4068,1717351018.406820,93
1717351018.6048,1717351018.604773,0
1717351018.6617,1717351018.661744,93
1717351018.8297,1717351018.829727,0
1717351018.8948,1717351018.894770,93
1717351019.0617,1717351019.061732,0
1717351019.1347,1717351019.134745,93
1717351019.3817,1717351019.381702,0
1717351019.4377,1717351019.437694,93
1717351019.6247,1717351019.624705,0
1717351019.6807,1717351019.680693,93
1717351019.8807,1717351019.880681,0
1717351019.9447,1717351019.944673,93
1717351020.1036,1717351020.103638,0
1717351020.1636,1717351020.163640,93
1717351020.3516,1717351020.351605,0
1717351020.4026,1717351020.402643,93
1717351020.5626,1717351020.562614,0
1717351020.6697,1717351020.669737,93
1717351020.8590,1717351020.859005,0
1717351020.9156,1717351020.915553,93
1717351021.0892,1717351021.089223,0
1717351021.1435,1717351021.143541,85
1717351021.3206,1717351021.320552,0
1717351021.3955,1717351021.395511,83
1717351021.5715,1717351021.571497,0
1717351021.6375,1717351021.637493,81
1717351021.8395,1717351021.839464,0
1717351021.8935,1717351021.893474,48
1717351022.0634,1717351022.063446,0
1717351022.1225,1717351022.122465,48
1717351022.2944,1717351022.294440,0
1717351022.3554,1717351022.355412,48
1717351022.5293,1717351022.529343,0
1717351022.5864,1717351022.586421,48
1717351022.7911,1717351022.791107,0
1717351022.8464,1717351022.846400,48
1717351023.0114,1717351023.011357,0
1717351023.0674,1717351023.067369,48
1717351023.2490,1717351023.249029,0
