1717889298.400658, 4, 65, 12, 0
1717889298.462355, 3, 65, 13, 0
1717889298.527648, 3, 65, 17, 42
1717889298.687436, 4, 65, 12, 0
1717889298.74888, 3, 65, 13, 0
1717889298.802148, 3, 65, 17, 42
1717889298.966013, 4, 65, 12, 0
1717889299.027709, 3, 65, 13, 0
1717889299.085408, 3, 65, 17, 42
1717889299.252795, 4, 65, 12, 0
1717889299.322428, 3, 65, 13, 0
1717889299.387987, 3, 65, 17, 42
1717889299.556089, 4, 65, 12, 0
1717889299.629702, 3, 65, 13, 0
1717889299.683084, 3, 65, 17, 42
1717889299.887794, 4, 65, 12, 0
1717889299.95334, 3, 65, 13, 0
1717889300.010768, 3, 65, 17, 42
1717889300.18686, 4, 65, 12, 0
1717889300.256502, 3, 65, 13, 0
1717889300.317951, 3, 65, 17, 42
1717889300.494126, 4, 65, 12, 0
1717889300.551475, 3, 65, 13, 0
1717889300.608827, 3, 65, 17, 42
1717889300.780895, 4, 65, 12, 0
1717889300.85054, 3, 65, 13, 0
1717889300.907895, 3, 65, 17, 42
1717889301.075866, 4, 65, 12, 0
1717889301.149611, 3, 65, 13, 0
1717889301.215151, 3, 65, 17, 42
1717889301.387347, 4, 65, 12, 0
1717889301.453153, 3, 65, 13, 0
1717889301.506029, 3, 65, 17, 42
1717889301.670079, 4, 65, 12, 0
1717889301.731573, 3, 65, 13, 0
1717889301.780516, 3, 65, 17, 42
1717889301.960778, 4, 65, 12, 0
1717889302.018197, 3, 65, 13, 0
1717889302.071389, 3, 65, 17, 42
1717889302.235265, 4, 65, 12, 0
1717889302.296714, 3, 65, 13, 0
1717889302.350016, 3, 65, 17, 42
